,log_reg,RidgeClass,AdaBoostClassifier,BaggingClassifier,GradientBoostingClassifier,RandomForestClassifier,LGBMClassifier,XGBClassifier
147,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0
149,1,1,1,1,1,1,1,1
150,1,1,1,1,1,1,1,1
151,1,1,1,1,1,1,1,1
152,0,1,1,0,1,1,1,1
153,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0
156,1,1,1,1,1,1,1,1
157,0,0,0,0,0,0,0,0
158,1,1,1,1,1,1,1,1
159,1,1,1,0,1,1,1,1
160,1,1,1,1,1,1,1,1
161,1,1,1,1,1,1,1,1
162,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0
164,1,1,1,1,1,1,1,1
165,1,1,1,1,1,1,1,1
166,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0
168,1,1,1,1,1,1,1,1
169,1,1,1,1,1,1,1,1
170,1,1,1,1,1,1,1,1
171,1,1,1,1,1,1,1,1
172,0,0,0,0,0,0,0,0
173,1,1,1,1,1,1,1,1
174,1,1,1,1,1,1,1,1
175,1,1,1,1,1,1,1,1
176,0,0,0,0,0,0,0,0
177,1,1,1,1,1,1,1,1
178,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0
180,1,1,1,1,1,1,1,1
181,0,0,0,0,0,0,0,0
182,1,1,0,1,0,1,0,0
183,1,1,1,1,1,1,1,1
184,0,0,0,0,0,0,0,0
185,1,1,1,1,1,1,1,1
186,0,1,1,0,1,0,1,1
187,1,1,1,1,1,1,1,1
188,1,1,1,1,1,1,1,1
189,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0
191,1,1,0,1,0,1,0,0
192,1,0,1,0,1,0,1,1
193,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0
199,1,1,1,1,1,1,1,1
200,0,0,0,0,0,0,0,0
201,1,1,1,1,1,1,1,1
202,1,1,1,1,1,1,1,1
203,1,1,1,1,1,1,1,1
204,0,1,1,0,1,1,1,0
205,1,1,1,1,1,1,1,1
206,1,1,1,1,1,1,1,1
207,1,0,1,1,1,1,1,1
208,0,0,0,0,0,0,0,0
209,1,1,1,1,1,1,1,1
210,1,1,1,1,1,1,1,1
211,0,0,1,0,1,0,1,1
212,0,0,0,0,0,0,0,0
213,1,1,0,1,0,1,0,0
214,0,0,0,0,0,0,0,0
215,1,1,1,1,1,1,1,1
216,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0
220,1,1,1,1,1,1,1,0
221,1,1,1,1,1,1,1,1
222,0,0,0,1,0,1,0,0
223,0,0,0,0,0,0,0,0
224,1,1,1,1,1,1,1,1
225,0,0,0,0,0,0,0,0
226,1,1,1,1,1,1,1,1
227,0,0,0,0,1,0,0,0
228,1,1,0,0,1,0,0,0
229,1,1,1,1,1,1,1,1
230,1,1,1,1,1,1,1,1
231,1,1,1,1,1,1,1,1
232,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0
234,1,0,1,0,1,0,1,1
235,1,1,1,1,1,1,1,1
236,1,1,1,1,1,1,1,1
237,1,1,1,1,1,1,1,1
238,1,1,1,1,1,1,1,1
239,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0
242,1,1,1,1,1,1,1,1
243,1,1,1,1,1,1,1,1
244,0,0,0,0,0,0,0,0
245,1,1,1,1,1,1,1,1
246,1,1,1,1,1,1,1,1
247,1,1,1,1,1,1,1,1
248,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0
251,1,1,1,1,1,1,1,1
252,0,0,1,0,1,0,0,0
253,0,0,0,0,0,0,0,0
254,1,1,1,1,1,1,1,1
255,0,0,0,0,0,0,0,0
256,1,1,1,1,1,1,1,1
257,0,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0
260,1,1,1,1,1,1,1,1
261,1,1,1,1,1,1,1,1
262,1,1,1,1,1,1,1,1
263,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0
265,1,1,1,1,1,1,1,1
266,1,0,1,1,1,1,1,1
267,1,1,1,1,1,1,1,1
268,0,1,1,0,1,1,1,1
269,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0
271,1,1,1,1,1,1,1,1
272,1,0,1,1,1,1,1,1
273,0,0,0,1,0,1,0,0
274,1,1,1,1,1,1,1,1
275,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0
279,1,1,1,1,1,1,1,1
280,0,0,0,0,0,0,0,0
281,1,1,1,1,1,1,1,1
282,0,0,0,0,0,0,0,0
283,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0
287,1,1,1,1,1,1,1,1
288,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0
290,1,1,1,1,1,1,1,1
291,1,0,0,1,0,0,1,1
292,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0
294,1,0,1,1,1,0,1,1
295,0,0,0,0,0,0,0,0
296,1,1,1,1,1,1,1,1
297,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0
299,1,1,1,1,1,1,1,1
300,0,0,0,0,0,0,0,0
301,1,1,1,1,1,1,1,1
302,0,0,0,0,0,0,0,0
303,1,1,1,1,1,1,1,1
304,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0
309,1,1,1,1,1,1,1,1
310,1,1,1,1,1,1,1,1
311,0,0,0,0,0,0,0,0
312,1,1,1,1,1,1,1,1
313,1,1,1,1,1,1,1,1
314,0,0,0,0,0,0,0,0
315,0,1,0,0,0,0,0,0
316,1,1,1,1,1,1,1,1
317,0,1,0,0,0,0,0,0
318,0,0,0,0,1,1,1,1
319,0,0,0,0,0,0,0,0
320,1,1,1,1,1,1,1,1
321,0,0,0,0,0,0,0,0
322,1,1,1,1,1,1,1,1
323,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0
325,1,1,1,1,1,1,1,1
326,1,1,1,0,1,0,1,1
327,0,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0,0
329,1,1,1,1,1,1,1,1
330,1,1,1,1,1,1,1,1
331,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0
333,1,1,1,1,1,1,1,1
334,1,1,1,1,1,1,1,1
335,0,0,0,0,0,0,0,0
336,1,1,1,1,1,1,1,1
337,1,0,1,1,1,1,1,1
338,0,0,0,0,0,0,0,0
339,1,1,1,1,1,1,1,1
340,0,0,0,0,0,0,0,0
341,1,1,1,1,1,1,1,1
342,0,1,0,0,0,0,0,0
343,1,0,1,1,1,0,1,1
344,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0
346,1,1,1,1,1,1,1,1
347,0,0,0,0,0,0,0,0
348,1,1,1,1,1,1,1,1
349,0,0,0,0,0,1,0,0
350,1,1,1,1,1,1,1,1
351,1,1,1,1,1,1,1,1
352,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0
354,1,1,1,1,1,1,1,1
355,1,1,1,1,1,1,1,1
356,1,1,1,1,1,1,1,1
357,0,0,0,0,0,0,0,0
358,1,1,0,0,1,0,0,0
359,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0,0
362,1,1,1,1,1,1,1,1
363,0,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0
370,1,1,1,1,1,1,1,1
371,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0
373,1,1,0,0,1,0,0,0
374,0,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0,0
376,0,0,1,1,1,1,1,1
377,0,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0,0
379,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0
381,1,1,1,1,1,1,1,1
382,0,1,0,0,1,0,0,0
383,1,1,1,1,1,1,1,1
384,1,1,1,1,1,1,1,1
385,0,0,0,0,0,0,0,0
386,1,1,1,1,1,1,1,1
387,1,1,1,1,1,1,1,1
388,0,0,0,0,0,0,0,0
389,0,0,1,0,1,0,0,0
390,0,0,0,0,0,0,0,0
391,1,1,1,1,1,1,1,1
392,0,0,0,0,0,0,0,0
393,1,1,1,1,1,1,1,1
394,0,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0
397,1,1,1,1,1,1,1,1
398,0,0,0,0,0,0,0,0
399,1,1,1,1,1,1,1,1
400,0,0,0,0,0,0,0,0
401,1,1,1,1,1,1,1,1
402,0,0,0,0,0,0,0,0
403,0,1,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0
407,1,1,1,1,1,1,0,0
408,0,0,0,0,0,0,0,0
409,1,1,1,1,1,1,1,1
410,1,1,1,1,1,1,1,1
411,1,1,1,1,1,1,1,1
412,0,0,0,0,0,0,0,0
413,1,1,1,1,1,1,1,1
414,0,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0,0
416,0,0,0,0,0,0,0,0
417,0,0,0,0,0,0,0,0
418,0,0,0,0,0,0,0,0
419,1,1,1,1,1,1,1,1
420,0,0,0,0,0,0,0,0
421,0,0,1,0,1,0,1,1
422,1,1,1,1,1,1,1,1
423,0,0,0,0,0,0,0,0
424,1,1,0,0,1,0,1,0
425,0,0,0,0,0,0,0,0
426,1,1,1,1,1,1,1,1
427,1,1,1,1,1,1,1,1
428,1,1,1,1,1,1,1,1
429,0,0,0,0,0,0,0,0
430,1,1,1,1,1,1,1,1
431,1,1,1,1,1,1,1,1
432,0,0,0,0,0,0,0,0
433,1,1,1,0,1,1,1,1
434,0,0,0,0,0,0,0,0
435,0,0,0,0,0,0,0,0
436,1,1,1,0,1,1,1,1
437,1,1,1,1,1,1,1,1
438,0,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0,0
440,0,1,0,0,0,0,0,0
441,0,0,0,0,0,0,0,0
442,1,1,1,1,1,1,1,1
443,0,0,0,0,0,0,0,0
444,1,1,1,1,1,1,1,1
445,1,1,1,1,1,1,1,1
446,1,1,0,0,1,0,0,0
447,0,0,1,0,1,0,1,1
448,1,1,1,1,1,1,1,1
449,0,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0
451,1,1,1,0,1,1,1,1
452,1,1,1,1,1,1,1,1
453,1,1,1,1,1,0,0,0
454,0,0,0,0,0,0,0,0
455,0,0,0,0,0,0,0,0
456,0,0,0,0,0,0,0,0
457,0,0,0,0,0,0,0,0
458,1,1,1,1,1,1,1,1
459,0,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0,0
462,0,0,0,0,0,0,0,0
463,1,1,1,1,1,1,1,1
464,1,1,1,1,1,1,1,1
465,0,0,0,0,0,0,0,0
466,0,0,0,0,0,0,0,0
467,0,1,0,0,1,0,1,1
468,0,0,0,0,0,0,0,0
469,1,1,1,1,1,1,1,1
470,1,1,1,1,1,1,1,1
471,1,1,1,1,1,1,1,1
472,0,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,0
474,0,0,0,0,0,0,0,0
475,0,0,0,0,0,0,0,0
476,0,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0,0
481,0,0,0,0,0,0,0,0
482,1,1,1,1,1,1,1,1
483,0,0,0,0,0,0,0,0
484,1,1,1,1,1,1,1,1
485,0,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0,0
487,1,1,1,1,1,1,1,1
488,1,1,1,1,1,1,1,1
489,0,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0,0
491,1,1,1,1,1,1,1,1
492,0,0,0,0,0,0,0,0
493,0,0,0,0,0,0,0,0
494,0,0,0,0,0,0,0,0
495,1,1,1,1,1,1,1,1
496,1,1,1,1,1,1,1,1
497,1,1,1,1,1,1,1,1
498,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0
500,0,0,0,0,1,0,0,0
501,1,1,1,1,1,1,1,1
502,1,1,1,0,1,1,1,1
503,1,1,1,1,1,1,1,1
504,0,0,0,0,0,0,0,0
505,1,1,1,1,1,1,1,1
506,1,1,1,1,1,1,1,1
507,0,0,0,0,0,0,0,0
508,1,1,1,1,1,1,1,1
509,0,0,0,0,0,0,0,0
510,1,1,1,1,1,1,1,1
511,1,1,1,1,1,1,1,1
512,0,0,0,0,0,0,0,0
513,0,0,0,0,0,0,0,0
514,1,1,1,1,1,1,1,1
515,0,0,0,0,0,0,0,0
516,1,1,0,0,1,0,1,1
517,1,1,1,1,1,1,1,1
518,0,0,0,0,0,0,0,0
519,0,0,0,0,0,0,0,0
520,1,1,1,1,1,1,1,1
521,1,1,1,1,1,1,1,1
522,1,1,1,1,1,1,1,1
523,0,0,0,0,0,0,0,0
524,0,0,0,0,0,0,0,0
525,0,0,0,0,0,0,0,0
526,1,1,1,1,1,1,1,1
527,0,0,0,0,0,0,0,0
528,1,1,1,1,1,1,1,1
529,0,0,0,0,0,0,0,0
530,0,0,0,0,0,0,0,0
531,0,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0,0
533,0,0,0,1,0,1,0,0
534,1,1,1,1,1,1,1,1
535,1,1,1,1,1,1,1,1
536,0,0,0,0,0,0,0,0
537,1,1,1,1,1,1,1,1
538,0,0,0,1,0,1,0,0
539,1,1,1,1,1,1,1,1
540,1,1,1,1,1,1,1,1
541,0,0,0,0,0,0,0,0
542,0,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0,0
544,0,0,0,0,0,0,0,0
545,1,1,1,1,1,1,1,1
546,1,1,1,1,1,1,1,1
547,0,0,0,0,0,0,0,0
548,0,0,0,0,0,0,0,0
549,1,1,1,1,1,1,1,1
550,1,0,0,1,0,1,0,0
551,0,1,0,0,1,0,0,0
552,0,1,1,0,1,1,1,1
553,0,1,0,0,1,0,0,0
554,0,0,0,0,0,0,0,0
555,1,1,1,1,1,1,1,1
556,1,1,1,1,1,1,1,1
557,0,0,0,0,0,0,0,0
558,0,0,0,0,0,0,0,0
559,0,0,0,0,0,0,0,0
560,0,0,0,0,0,0,0,0
561,0,0,0,0,0,0,0,0
562,0,0,0,0,0,0,0,0
563,0,0,0,0,0,0,0,0
564,1,1,1,1,1,1,1,1
565,1,1,1,1,1,1,1,1
566,1,1,1,1,1,1,1,1
567,1,1,1,1,1,1,1,1
568,0,0,0,0,0,0,0,0
569,0,0,0,0,0,0,0,0
570,1,1,1,1,1,1,1,1
571,1,1,1,1,1,1,1,1
572,0,0,1,0,1,0,1,1
573,1,1,1,1,1,1,1,1
574,0,0,0,0,0,0,0,0
575,0,0,0,0,0,0,0,0
576,0,0,0,0,0,0,0,0
577,0,0,0,0,0,0,0,0
578,0,0,0,0,0,0,0,0
579,1,1,1,1,1,1,1,1
580,0,0,0,0,0,0,0,0
581,0,0,0,0,0,0,0,0
582,0,0,0,0,0,0,0,0
583,0,0,0,0,0,0,0,0
584,0,0,0,0,0,0,0,0
585,1,1,1,1,1,1,1,1
586,0,0,0,0,0,0,0,0
587,1,1,1,1,1,1,1,1
588,0,0,0,0,0,0,0,0
589,1,1,1,1,1,1,1,1
590,0,0,0,0,0,0,0,0
591,0,0,0,0,0,0,0,0
592,1,1,1,1,1,1,1,1
593,0,0,0,0,0,0,0,0
594,0,0,0,0,0,0,0,0
595,1,1,1,1,1,1,1,1
596,1,1,1,1,1,1,0,0
597,1,1,1,1,1,1,1,1
598,0,0,0,0,0,0,0,0
599,1,1,1,1,1,1,1,1
600,1,0,0,0,1,0,0,0
601,0,0,0,0,0,0,0,0
602,0,0,0,0,0,0,0,0
603,0,0,0,0,0,0,0,0
604,1,1,1,1,1,1,1,1
605,0,0,0,0,0,0,0,0
606,0,0,0,0,0,0,0,0
607,1,1,1,1,1,1,1,1
608,0,0,0,0,0,0,0,0
609,0,0,0,0,0,0,0,0
610,0,0,0,0,0,0,0,0
611,1,1,1,1,1,1,1,1
612,0,0,0,0,0,0,0,0
613,0,0,1,0,0,0,0,0
614,1,1,0,1,0,1,0,0
615,0,0,0,0,0,0,0,0
616,0,0,0,0,0,0,0,0
617,0,0,0,0,0,0,0,0
618,1,1,1,1,1,1,1,1
619,0,0,0,0,0,0,0,0
620,1,1,1,1,1,1,1,1
621,0,0,0,0,0,0,0,0
622,1,1,1,1,1,1,1,1
623,0,0,0,0,0,0,0,0
624,0,0,0,0,0,0,0,0
625,1,1,1,1,1,1,1,1
626,0,0,0,0,0,0,0,0
627,0,0,0,0,0,0,0,0
628,1,1,1,1,1,1,1,1
629,0,1,0,0,0,0,0,0
630,0,0,0,0,1,0,0,0
631,1,1,1,1,1,1,1,1
632,0,0,0,0,0,0,0,0
633,0,0,0,0,0,0,0,0
634,1,1,1,1,1,1,1,1
635,0,0,0,0,0,0,0,0
636,0,0,1,1,0,1,1,1
637,0,0,0,0,0,0,0,0
638,1,1,1,1,1,1,1,1
639,1,1,1,0,1,1,1,1
640,0,0,0,0,0,0,0,0
641,0,0,0,0,0,0,0,0
642,1,1,1,1,1,1,1,1
643,1,0,1,1,1,1,1,1
644,0,0,0,0,0,0,0,0
645,0,0,0,0,0,0,0,0
646,0,0,0,0,0,0,0,0
647,1,1,1,1,1,1,1,1
648,0,0,0,0,0,0,0,0
649,1,1,1,1,1,1,1,1
650,1,1,1,1,1,1,1,1
651,1,1,1,1,1,1,1,1
652,0,0,0,0,0,0,0,0
653,0,0,0,0,0,0,0,0
654,0,0,0,0,0,0,0,0
655,1,1,1,1,1,1,1,1
656,0,0,0,0,0,0,0,0
657,0,0,0,0,0,0,0,0
658,1,1,1,1,1,1,1,1
659,1,1,1,1,1,1,1,1
660,1,1,1,1,1,1,1,1
661,0,0,0,0,0,0,0,0
662,0,0,0,0,0,0,0,0
663,0,0,0,0,0,0,0,0
664,1,1,1,1,1,1,1,1
665,1,0,1,1,1,1,1,1
666,1,1,1,1,1,1,1,1
667,1,1,1,1,1,1,1,1
668,0,0,0,0,0,0,0,0
669,1,1,1,1,1,1,1,1
670,0,0,0,0,0,0,0,0
671,1,1,1,1,1,1,1,1
672,1,1,1,1,1,1,1,1
673,1,1,1,1,1,1,1,1
674,0,0,0,0,0,0,0,0
675,0,0,0,0,0,0,0,0
676,1,1,1,1,1,1,1,1
677,1,1,1,1,1,1,1,1
678,0,0,0,0,0,0,0,0
679,0,0,0,0,0,0,0,0
680,1,1,1,1,1,1,1,1
681,0,0,0,0,0,0,0,0
682,0,0,0,0,0,0,0,0
683,0,0,0,0,0,0,0,0
684,0,0,0,0,0,0,0,0
685,0,0,0,0,0,0,0,0
686,0,0,0,0,0,0,0,0
687,1,1,0,0,0,1,0,0
688,1,1,1,0,1,1,1,1
689,0,0,0,0,0,0,0,0
690,1,1,1,1,1,1,1,1
691,1,0,1,1,1,1,1,1
692,0,0,0,0,0,0,0,0
693,0,0,0,0,0,0,0,0
694,0,0,0,0,0,0,0,0
695,0,0,0,0,0,0,0,0
696,0,0,0,0,0,0,0,0
697,0,0,0,0,0,0,0,0
698,0,0,0,0,1,1,1,1
699,1,1,1,0,1,0,1,1
700,1,1,1,1,1,1,1,1
701,0,0,0,0,0,0,0,0
702,0,0,0,0,0,0,0,0
703,1,1,1,1,1,1,1,1
704,1,1,1,1,1,1,1,1
705,0,0,0,0,0,0,0,0
706,0,0,0,0,0,0,0,0
707,0,0,0,0,0,0,0,0
708,1,1,0,1,0,1,0,0
709,1,1,1,1,1,1,1,1
710,1,1,1,1,1,1,1,1
711,1,1,1,1,1,1,1,1
712,0,0,0,0,0,0,0,0
713,1,1,1,1,1,1,1,1
714,1,0,1,1,1,1,1,1
715,0,0,0,0,1,0,0,0
716,1,1,1,1,1,1,1,1
717,1,1,0,1,0,1,0,0
718,1,0,0,0,1,0,1,1
719,0,0,0,0,0,0,0,0
720,1,1,0,0,0,0,0,0
721,1,1,1,1,1,1,1,1
722,0,0,0,0,0,0,0,0
723,1,1,1,1,1,1,1,1
724,0,0,0,0,0,0,0,0
725,1,1,1,1,1,1,1,1
726,0,0,0,0,0,0,0,0
727,0,1,0,0,0,0,0,0
728,1,1,1,1,1,1,1,1
729,0,0,0,0,0,0,0,0
730,1,1,1,1,1,1,1,1
731,0,0,0,0,0,0,0,0
732,0,0,0,0,0,0,0,0
733,1,1,1,1,1,1,1,1
734,1,1,1,1,1,1,1,1
735,0,0,0,0,0,0,0,0
736,0,0,0,0,0,0,0,0
737,0,0,0,0,0,0,0,0
738,1,1,1,1,1,1,1,1
739,0,0,0,0,0,0,0,0
740,1,1,1,1,1,1,1,1
741,0,0,0,0,0,0,0,0
742,0,0,0,0,0,0,0,0
743,1,1,1,1,1,1,1,1
744,0,0,0,0,0,0,0,0
745,0,0,0,0,0,0,0,0
746,1,0,1,1,1,1,1,1
747,1,1,1,1,1,1,1,1
748,0,0,0,0,0,0,0,0
749,0,0,0,0,0,0,0,0
750,0,0,0,0,0,0,0,0
751,0,0,0,0,0,0,0,0
752,0,0,0,0,0,0,0,0
753,1,1,1,1,1,1,1,1
754,1,1,1,1,1,1,1,1
755,1,1,1,1,1,1,1,1
756,0,1,0,0,0,0,0,0
757,0,0,0,0,0,0,0,0
758,1,1,1,1,1,1,1,1
759,0,0,0,0,0,0,0,0
760,0,0,0,0,0,0,0,0
761,1,1,1,1,1,1,1,1
762,0,0,0,0,0,0,0,0
763,0,0,0,0,0,0,0,0
764,1,1,1,1,1,1,1,1
765,0,0,0,0,0,0,0,1
766,0,0,0,0,0,0,0,0
767,1,1,1,1,1,1,1,1
768,1,1,1,1,1,1,1,1
